Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","6387203","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","21815","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1961","1961","tonnes","13933400","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","6485855","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","22253","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1962","1962","tonnes","14433210","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","6299467","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","21152","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1963","1963","tonnes","13324660","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","6244904","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","22430","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1964","1964","tonnes","14007520","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","6056518","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","23993","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1965","1965","tonnes","14531270","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","5991218","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","23998","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1966","1966","tonnes","14377630","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","5768719","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","26288","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1967","1967","tonnes","15165050","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","5954460","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","25271","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1968","1968","tonnes","15047330","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","5922142","E","Estimated value"
